----------------ATORCH Tester Software----------------
Equipment:001
Mode: Constant Current mode (CC)
Title:ATORCH Tester Software
----------------ATORCH Tester Software----------------
Time,Equipment,Model,Voltage(V),Current(A),Power(W),Capacity(Ah),Electricity(KWh),Temperature(?),
2025-02-22_21:32:10,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:13,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:15,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:17,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:23,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:24,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:25,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:27,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:29,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:31,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:33,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:35,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:37,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:39,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:41,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:42,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:44,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:46,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:47,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:48,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:49,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:51,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:52,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:54,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:56,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:32:58,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:00,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:02,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:03,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:05,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:07,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:10,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:37,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:38,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:40,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:42,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:44,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:46,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:48,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:33:50,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:52:39,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:52:40,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_21:52:42,1,0,0.00,0.00,0.00,0.00,0.00,0.00
